Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 3 	 14																																																																												5.540751			12.928420																																																																																								-18.469171	
 3 	 15																																																																												6.224801			14.524535																																																																																								-20.749336	
 3 	 16																																																																												6.498426			15.162995																																																																																								-21.661421	
 3 	 17																																																																												6.498426			15.162995																																																																																								-21.661421	
 3 	 18																																																																												4.788317			11.172740																																																																																								-15.961057	
 3 	 19																																																																												3.420218			7.980509																																																																																								-11.400728	
 3 	 20																																																																												2.565164			5.985382																																																																																								-8.550546	
 3 	 21																																																																												1.710109			3.990255																																																																																								-5.700364	
 3 	 22																																																																												1.094470			2.553764																																																																																								-3.648235	
 3 	 23																																																																												0.684044			1.596102																																																																																								-2.280146	
 3 	 24																																																																												0.273617			0.638441																																																																																								-0.912058	
 4 	 1																																																																												0.171011			0.399025																																																																																								-0.570036	
 4 	 2																																																																												0.068404			0.159610																																																																																								-0.228015	
 4 	 3																																																																												0.034202			0.079805																																																																																								-0.114007	
 4 	 4																																																																												0.410427			0.957662																																																																																								-1.368089	
 4 	 5																																																																												1.094470			2.553764																																																																																								-3.648235	
 4 	 6																																																																												2.736175			6.384407																																																																																								-9.120582	
 4 	 7																																																																												5.301332			12.369776																																																																																								-17.671108	
 4 	 8																																																																												4.617283			10.773660																																																																																								-15.390943	
 4 	 9																																																																												4.275273			9.975637																																																																																								-14.250909	
 4 	 10																																																																												4.788317			11.172740																																																																																								-15.961057	
 4 	 11																																																																												5.472338			12.768788																																																																																								-18.241125	
 4 	 12																																																																												6.019589			14.045707																																																																																								-20.065296	
 4 	 13																																																																												5.472338			12.768788																																																																																								-18.241125	
 4 	 14																																																																												5.540751			12.928420																																																																																								-18.469171	
 4 	 15																																																																												6.224801			14.524535																																																																																								-20.749336	
 4 	 16																																																																												6.498426			15.162995																																																																																								-21.661421	
 4 	 17																																																																												6.498426			15.162995																																																																																								-21.661421	
 4 	 18																																																																												4.788317			11.172740																																																																																								-15.961057	
 4 	 19																																																																												3.420218			7.980509																																																																																								-11.400728	
 4 	 20																																																																												2.565164			5.985382																																																																																								-8.550546	
 4 	 21																																																																												1.710109			3.990255																																																																																								-5.700364	
 4 	 22																																																																												1.094470			2.553764																																																																																								-3.648235	
 4 	 23																																																																												0.684044			1.596102																																																																																								-2.280146	
 4 	 24																																																																												0.273617			0.638441																																																																																								-0.912058	
 5 	 1																																																																												0.171011			0.399025																																																																																								-0.570036	
 5 	 2																																																																												0.068404			0.159610																																																																																								-0.228015	
 5 	 3																																																																												0.034202			0.079805																																																																																								-0.114007	
 5 	 4																																																																												0.410427			0.957662																																																																																								-1.368089	
 5 	 5																																																																												1.094470			2.553764																																																																																								-3.648235	
 5 	 6																																																																												2.736175			6.384407																																																																																								-9.120582	
 5 	 7																																																																												5.301332			12.369776																																																																																								-17.671108	
 5 	 8																																																																												4.617283			10.773660																																																																																								-15.390943	
 5 	 9																																																																												4.275273			9.975637																																																																																								-14.250909	
 5 	 10																																																																												4.788317			11.172740																																																																																								-15.961057	
 5 	 11																																																																												5.472338			12.768788																																																																																								-18.241125	
 5 	 12																																																																												6.019589			14.045707																																																																																								-20.065296	
 5 	 13																																																																												5.472338			12.768788																																																																																								-18.241125	
 5 	 14																																																																												5.540751			12.928420																																																																																								-18.469171	
 5 	 15																																																																												6.224801			14.524535																																																																																								-20.749336	
 5 	 16																																																																												6.498426			15.162995																																																																																								-21.661421	
 5 	 17																																																																												6.498426			15.162995																																																																																								-21.661421	
 5 	 18																																																																												4.788317			11.172740																																																																																								-15.961057	
 5 	 19																																																																												3.420218			7.980509																																																																																								-11.400728	
 5 	 20																																																																												2.565164			5.985382																																																																																								-8.550546	
 5 	 21																																																																												1.710109			3.990255																																																																																								-5.700364	
 5 	 22																																																																												1.094470			2.553764																																																																																								-3.648235	
 5 	 23																																																																												0.684044			1.596102																																																																																								-2.280146	
 5 	 24																																																																												0.273617			0.638441																																																																																								-0.912058	
 6 	 1																																																																												0.171011			0.399025																																																																																								-0.570036	
 6 	 2																																																																												0.068404			0.159610																																																																																								-0.228015	
